Teks_Mutasi,Kategori
tf syariah ukt semester 4,UKT 1 Semester
pembayaran ukt mhs,UKT 1 Semester
bayar ukt uin,UKT 1 Semester
spp pondok mei,SPP Bulanan Pondok
syahriah ponpes bulanan,SPP Bulanan Pondok
bayar spp pesantren,SPP Bulanan Pondok
warmakan bu rebo,Makan Bulanan
qris burjo warmindo,Makan Bulanan
gofood mcdonalds harian,Makan Bulanan
gojek kampus,Transportasi
grab ride ke stasiun,Transportasi
isi bensin pertamina,Transportasi
beli sembako indomaret,Kebutuhan Pokok Bulanan
belanja bulanan alfamart,Kebutuhan Pokok Bulanan
supermarket superindo,Kebutuhan Pokok Bulanan
menabung,Tabungan Semesteran
transfer ke saku tabungan,Tabungan Semesteran
investasi reksadana bibit,Tabungan Semesteran
